2018-02-15; 00:14:09; 51.21851; -0.53398; 3
2018-02-15; 00:14:55; 51.21887; -0.53344; 3
2018-02-15; 00:15:37; 51.21986; -0.53445; 3
2018-02-15; 00:17:12; 51.22076; -0.53479; 3
2018-02-15; 00:18:26; 51.2208; -0.53846; 3
2018-02-15; 00:21:32; 51.22084; -0.53853; 3
2018-02-15; 00:21:37; 51.21918; -0.54904; 3
2018-02-15; 00:30:51; 51.2194; -0.55327; 3
2018-02-15; 00:34:27; 51.21944; -0.55361; 3
2018-02-15; 00:34:44; 51.22064; -0.55918; 3
2018-02-15; 00:39:52; 51.22265; -0.56459; 3
2018-02-15; 00:45:13; 51.22297; -0.56468; 3
2018-02-15; 00:45:40; 51.22302; -0.56474; 3
2018-02-15; 00:45:45; 51.22518; -0.56409; 3
2018-02-15; 00:48:44; 51.22551; -0.56397; 3
2018-02-15; 00:49:11; 51.22551; -0.56397; 3
2018-02-15; 00:49:17; 51.22613; -0.54515; 3
2018-02-15; 01:05:19; 51.22654; -0.54214; 3
2018-02-15; 01:07:54; 51.2249; -0.54196; 3
2018-02-15; 01:10:09; 51.22531; -0.53984; 3
2018-02-15; 01:12:03; 51.22555; -0.53949; 3
2018-02-15; 01:12:29; 51.22553; -0.53935; 3
2018-02-15; 01:12:37; 51.22542; -0.53836; 3
2018-02-15; 01:13:27; 51.22545; -0.53839; 3
2018-02-15; 01:13:30; 51.22534; -0.53825; 3
2018-02-15; 01:13:42; 51.22482; -0.52967; 3
2018-02-15; 01:20:56; 51.2152008; -0.5253536; 3
2018-02-15; 00:00:00; 51.2154158; -0.5256003; 3
2018-02-15; 00:00:21; 51.2153856; -0.5268395; 3
2018-02-15; 00:01:23; 51.2154192; -0.5279285; 3
2018-02-15; 00:02:18; 51.2160543; -0.5274296; 3
2018-02-15; 00:03:15; 51.2161836; -0.527384; 3
2018-02-15; 00:03:26; 51.2168758; -0.5277649; 3
2018-02-15; 00:04:24; 51.2171094; -0.5264854; 3
2018-02-15; 00:05:31; 51.2173278; -0.5266008; 3
2018-02-15; 00:05:50; 51.2172673; -0.5282342; 3
